Frequency,M,Station,On,Off,Language,Site,TX_Country,Days,Target,Notes,Pwr,Azi,Org_Country,Source,Date
16400,USB,JXN Marine Norway,0,2400,?,Novik,Norway,smtwtfs,NEu,no,,,Norway,EiBi,
18200,USB,VTX Indian Navy,0,2400,?,Vijayanarayanam (Tamil Nadu),India,smtwtfs,SAs,v,,,India,EiBi,
18300,USB,HWU French Navy,0,2400,?,Rosnay (HWU),France,smtwtfs,WEu,wu,,,France,EiBi,
19600,USB,GQD Anthorn,0,2400,?,Anthorn,UK,smtwtfs,WEu,an,,,UK,EiBi,
19800,USB,NWC US/Australian Navy,0,2400,?,"Exmouth, WA",Australia,smtwtfs,Oc ,ex,,,Australia,EiBi,
20500,CW,RJH66 Bishkek,441,447,Time Signal,Bishkek Beta,Kyrgyzstan,smtwtfs,CAs,bk,,,Kyrgyzstan,EiBi,
20500,CW,RJH99 Nizhni Novgorod,541,547,Time Signal,Nizhni Novgorod,Russia,smtwtfs,EEu,nn,,,Russian Fed.,EiBi,
20500,AM,RJH69,741,747,Time Signal,Molodechno,Belarus,smtwtfs,EEu,mo,,,Belarus,EiBi,
20500,CW,RJH77 Arkhangelsk,941,947,Time Signal,Arkhangelsk Beta,Russ - Eur,smtwtfs,EEu,ak,,,Russian Fed.,EiBi,
20500,CW,RJH66 Bishkek,1041,1047,Time Signal,Bishkek Beta,Kyrgyzstan,smtwtfs,CAs,bk,,,Kyrgyzstan,EiBi,
20500,CW,RJH63 Krasnodar,1131,1141,Time Signal,Krasnodar,Russia,smtwtfs,EEu,kd,,,Russian Fed.,EiBi,
20900,USB,HWU French Navy,0,2400,?,Rosnay (HWU),France,smtwtfs,WEu,wu,,,France,EiBi,
21400,USB,NPM US Navy,0,2400,?,Lualualei,Hawaii,smtwtfs,Oc ,L,,,Hawaii,EiBi,
21700,USB,HWU French Navy,0,2400,?,Rosnay (HWU),France,smtwtfs,WEu,wu,,,France,EiBi,
23000,CW,RJH66 Bishkek,435,441,Time Signal,Bishkek Beta,Kyrgyzstan,smtwtfs,CAs,bk,,,Kyrgyzstan,EiBi,
23000,CW,RJH99 Nizhni Novgorod,535,541,Time Signal,Nizhni Novgorod,Russia,smtwtfs,EEu,nn,,,Russian Fed.,EiBi,
23000,AM,RJH69,735,741,Time Signal,Molodechno,Belarus,smtwtfs,EEu,mo,,,Belarus,EiBi,
23000,CW,RJH77 Arkhangelsk,935,941,Time Signal,Arkhangelsk Beta,Russ - Eur,smtwtfs,EEu,ak,,,Russian Fed.,EiBi,
23000,CW,RJH66 Bishkek,1035,1041,Time Signal,Bishkek Beta,Kyrgyzstan,smtwtfs,CAs,bk,,,Kyrgyzstan,EiBi,
23000,CW,RJH63 Krasnodar,1126,1131,Time Signal,Krasnodar,Russia,smtwtfs,EEu,kd,,,Russian Fed.,EiBi,
23400,USB,DHO38 German Navy,0,2400,?,Rhauderfehn,Germany,smtwtfs,Eu ,rf,,,Germany,EiBi,
23400,USB,NPM US Navy,0,2400,?,Lualualei,Hawaii,smtwtfs,Oc ,L,,,Hawaii,EiBi,
24000,USB,NAA US Navy Cutler,0,2400,?,"Cutler, ME",USA,smtwtfs,NAO,cu,,,USA,EiBi,
24800,USB,NLK US Navy Jim Creek,0,2400,?,"Jim Creek, WA",USA,smtwtfs,NAO,jc,,,USA,EiBi,
25000,CW,RJH66 Bishkek,400,425,Time Signal,Bishkek Beta,Kyrgyzstan,smtwtfs,CAs,bk,,,Kyrgyzstan,EiBi,
25000,CW,RJH99 Nizhni Novgorod,500,525,Time Signal,Nizhni Novgorod,Russia,smtwtfs,EEu,nn,,,Russian Fed.,EiBi,
25000,AM,RJH69,700,725,Time Signal,Molodechno,Belarus,smtwtfs,EEu,mo,,,Belarus,EiBi,
25000,CW,RJH77 Arkhangelsk,900,925,Time Signal,Arkhangelsk Beta,Russ - Eur,smtwtfs,EEu,ak,,,Russian Fed.,EiBi,
25000,CW,RJH66 Bishkek,1000,1025,Time Signal,Bishkek Beta,Kyrgyzstan,smtwtfs,CAs,bk,,,Kyrgyzstan,EiBi,
25000,CW,RJH63 Krasnodar,1100,1120,Time Signal,Krasnodar,Russia,smtwtfs,EEu,kd,,,Russian Fed.,EiBi,
25100,CW,RJH66 Bishkek,425,430,Time Signal,Bishkek Beta,Kyrgyzstan,smtwtfs,CAs,bk,,,Kyrgyzstan,EiBi,
25100,CW,RJH99 Nizhni Novgorod,525,530,Time Signal,Nizhni Novgorod,Russia,smtwtfs,EEu,nn,,,Russian Fed.,EiBi,
25100,AM,RJH69,725,730,Time Signal,Molodechno,Belarus,smtwtfs,EEu,mo,,,Belarus,EiBi,
25100,CW,RJH77 Arkhangelsk,925,930,Time Signal,Arkhangelsk Beta,Russ - Eur,smtwtfs,EEu,ak,,,Russian Fed.,EiBi,
25100,CW,RJH66 Bishkek,1025,1030,Time Signal,Bishkek Beta,Kyrgyzstan,smtwtfs,CAs,bk,,,Kyrgyzstan,EiBi,
25100,CW,RJH63 Krasnodar,1120,1123,Time Signal,Krasnodar,Russia,smtwtfs,EEu,kd,,,Russian Fed.,EiBi,
25200,USB,NML US Navy,0,2400,?,"Lamoure, ND",USA,smtwtfs,NAm,lm,,,USA,EiBi,
25500,CW,RJH66 Bishkek,430,435,Time Signal,Bishkek Beta,Kyrgyzstan,smtwtfs,CAs,bk,,,Kyrgyzstan,EiBi,
25500,CW,RJH99 Nizhni Novgorod,530,535,Time Signal,Nizhni Novgorod,Russia,smtwtfs,EEu,nn,,,Russian Fed.,EiBi,
25500,AM,RJH69,730,735,Time Signal,Molodechno,Belarus,smtwtfs,EEu,mo,,,Belarus,EiBi,
25500,CW,RJH77 Arkhangelsk,930,935,Time Signal,Arkhangelsk Beta,Russ - Eur,smtwtfs,EEu,ak,,,Russian Fed.,EiBi,
25500,CW,RJH66 Bishkek,1030,1035,Time Signal,Bishkek Beta,Kyrgyzstan,smtwtfs,CAs,bk,,,Kyrgyzstan,EiBi,
25500,CW,RJH63 Krasnodar,1123,1126,Time Signal,Krasnodar,Russia,smtwtfs,EEu,kd,,,Russian Fed.,EiBi,
37500,USB,TFK Grindavik,0,2400,?,Keflavik/Grindavik,Iceland,smtwtfs,NEu,g,,,Iceland,EiBi,
40000,CW,"JJY (ID x15,x45)",0,2400,Time Signal,Mount Otakadoya,Japan,smtwtfs,FE ,o,,,Japan,EiBi,
40000,CW,Time Signal,0,2400,Time Signals,Otakadoyama Tamura C,Japan,smtwtfs,,NICT,50,ND,,Aoki,
45900,USB,NSY Sicily,0,2400,?,I-sy,Italy,smtwtfs,SEu,sy,,,Italy,EiBi,
60000,CW,"JJY (ID x15,x45)",0,2400,Time Signal,Mount Hagane,Japan,smtwtfs,FE ,h,,,Japan,EiBi,
60000,CW,MSF Time from NPL,0,2400,Time Signal,Anthorn,UK,smtwtfs,Eu ,an,,,UK,EiBi,
60000,CW,Time Signal,0,2400,Time Signals,Haganeyama,Japan,smtwtfs,,NICT,50,ND,,Aoki,
60000,CW,WWVB Colorado,0,2400,Time Signal,"Fort Collins, CO",USA,smtwtfs,USA,ff,,,USA,EiBi,
66660,AM,RBU Time Signal,0,2400,Time Signal,Taldom - Severnyj,RUSSIA,smtwtfs,EEu,t,,,Russian Fed.,EiBi,
68500,AM,BPC Time Signal,0,2400,Time Signal,Shangqiu (Henan),China,smtwtfs,FE ,sq,,,China,EiBi,
77500,PSK,DCF77 Mainflingen,0,2400,Time Signal,Mainflingen,Germany,smtwtfs,Eu ,mf,,,Germany,EiBi,
129100,USB,EFR Teleswitch,0,2400,?,Mainflingen,Germany,smtwtfs,CEu,mf,,,Germany,EiBi,
135600,USB,EFR Teleswitch,0,2400,?,Lakihegy,Hungary,smtwtfs,CEu,lh,,,Hungary,EiBi,
139000,USB,EFR Teleswitch,0,2400,?,Burg,Germany,smtwtfs,CEu,bu,,,Germany,EiBi,
145000,USB,Spanish Navy FSK,0,2400,?,"Torreta de Guardamar, Guardamar del Segura",Spain,irr  ,Eu ,gm,,,Spain,EiBi,
147300,USB,DDH47 DWD Pinneberg RTTY,0,2400,English,Pinneberg,Germany,smtwtfs,Eu ,pi,,,Germany,EiBi,
153000,AM,Antena Satelor,0,2400,Romanian,Brasov Bod,Romania,smtwtfs,,ROU,200,ND,,Aoki,
162000,AM,France Inter,0,2400,French,Allouis,France,smtwtfs,,FI a15,1000,,,Aoki,
164000,AM,Mongolian R.1,2200,1500,Mongolian,Ulaanbaatar,Mongolia,smtwtfs,,MNR,500,ND,,Aoki,
171000,AM,Medi 1,0,4,Arabic,Nador,Morocco,.m.....,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,0,100,Arabic,Nador,Morocco,s.twtfs,NAf,n,,,Morocco,EiBi,
171000,AM,R.Mediiterranee Int.,0,2400,French/Arabic/,Nador,Morocco,smtwtfs,,MEDI1//9575,1600,ND,,Aoki,
171000,AM,Medi 1,4,100,French,Nador,Morocco,.m.....,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,100,200,Arabic,Nador,Morocco,.mt....,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,100,200,French,Nador,Morocco,s..wtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,200,300,Arabic,Nador,Morocco,smt....,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,200,300,French,Nador,Morocco,...wtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,300,528,Arabic,Nador,Morocco,smtwtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,528,558,French,Nador,Morocco,smtwtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,558,610,Arabic,Nador,Morocco,.mtwtf.,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,558,613,Arabic,Nador,Morocco,s.....s,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,610,650,French,Nador,Morocco,.mtwtf.,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,613,656,French,Nador,Morocco,s.....s,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,650,656,Arabic,Nador,Morocco,.mtwtf.,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,656,721,Arabic,Nador,Morocco,smtwtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,721,758,French,Nador,Morocco,smtwtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,758,810,Arabic,Nador,Morocco,smtwtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,810,855,French,Nador,Morocco,smtwtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,855,904,Arabic,Nador,Morocco,.mtwtf.,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,900,930,Arabic,Nador,Morocco,s.....s,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,904,1000,French,Nador,Morocco,.mtwtf.,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,930,933,French,Nador,Morocco,s.....s,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,933,1000,Arabic,Nador,Morocco,s.....s,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1000,1003,Arabic,Nador,Morocco,.mtwtf.,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1000,1030,Arabic,Nador,Morocco,s.....s,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1003,1034,French,Nador,Morocco,.mtwtf.,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1030,1100,French,Nador,Morocco,s.....s,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1034,1100,Arabic,Nador,Morocco,.mtwtf.,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1100,1102,French,Nador,Morocco,smtwtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1102,1130,Arabic,Nador,Morocco,.mtwtf.,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1102,1130,French,Nador,Morocco,s.....s,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1130,1200,French,Nador,Morocco,smtwtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1200,1214,Arabic,Nador,Morocco,.mtwtf.,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1200,1230,Arabic,Nador,Morocco,s.....s,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1214,1255,French,Nador,Morocco,.mtwtf.,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1230,1259,French,Nador,Morocco,s.....s,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1255,1259,Arabic,Nador,Morocco,.mtwtf.,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1259,1300,French,Nador,Morocco,smtwtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1300,1333,Arabic,Nador,Morocco,..twtf.,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1300,1333,French,Nador,Morocco,sm....s,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1333,1400,French,Nador,Morocco,smtwtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1400,1403,Arabic,Nador,Morocco,smtwtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1403,1430,Arabic,Nador,Morocco,.m.....,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1403,1430,French,Nador,Morocco,s.twtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1430,1434,French,Nador,Morocco,smtwtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1434,1500,Arabic,Nador,Morocco,.m.....,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1434,1500,French,Nador,Morocco,s.twtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1500,1503,Arabic,Nador,Morocco,smtwtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1503,1530,Arabic,Nador,Morocco,s.....s,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1503,1535,French,Nador,Morocco,.mtwtf.,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1530,1535,French,Nador,Morocco,s.....s,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1535,1600,Arabic,Nador,Morocco,smtwt.s,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1535,1600,French,Nador,Morocco,.....f.,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1600,1603,Arabic,Nador,Morocco,smtwtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1603,1700,French,Nador,Morocco,smtwtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1700,1703,Arabic,Nador,Morocco,.mtwtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1700,1730,Arabic,Nador,Morocco,s......,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1703,1759,French,Nador,Morocco,.mtwtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1730,1734,French,Nador,Morocco,s......,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1734,1759,Arabic,Nador,Morocco,s......,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1759,1813,Arabic,Nador,Morocco,smtwtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1813,1858,French,Nador,Morocco,smtwtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1858,1928,Arabic,Nador,Morocco,smtwtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1928,1950,French,Nador,Morocco,smtwtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1950,1955,Arabic,Nador,Morocco,s.twtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1950,1955,French,Nador,Morocco,.m.....,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,1955,2020,Arabic,Nador,Morocco,smtwtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,2020,2023,French,Nador,Morocco,s.....s,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,2020,2030,French,Nador,Morocco,.mtwtf.,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,2023,2030,Arabic,Nador,Morocco,s.....s,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,2030,2058,Arabic,Nador,Morocco,smtwtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,2058,2158,French,Nador,Morocco,smtwtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,2158,2215,Arabic,Nador,Morocco,smtwtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,2215,2258,Arabic,Nador,Morocco,.mtwt..,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,2215,2258,French,Nador,Morocco,s....fs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,2258,2316,French,Nador,Morocco,smtwtfs,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,2316,2358,Arabic,Nador,Morocco,s....f.,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,2316,2358,French,Nador,Morocco,.mtwt.s,NAf,n,,,Morocco,EiBi,
171000,AM,Medi 1,2358,2400,Arabic,Nador,Morocco,smtwtfs,NAf,n,,,Morocco,EiBi,
183000,AM,Europe 1,0,2400,French,Felsberg,Germany,smtwtfs,,EU1,2000,,,Aoki,
189000,AM,Rikisutvarpid Ras 1+2,0,2400,Icelandic,Gufuskalar,Iceland,smtwtfs,,RUV,300,,,Aoki,
198000,AM,R.Algerienne Chaine 1,0,2400,Arabic,Ouargla,Algeria,smtwtfs,,ALG1,2000,ND,,Aoki,
198000,AM,BBC,100,600,English,Droitwich,UK,smtwtfs,,BBC,500,,,Aoki,
198000,AM,BBC R4,600,100,English,Droitwich,UK,smtwtfs,,BBC R4,500,,,Aoki,
207000,AM,Rikisutvarpid Ras 1+2,0,2400,Icelandic,Gufuskalar,Iceland,smtwtfs,,RUV,100,,,Aoki,
207000,AM,SNRT Al-Idaa al-Watania,0,2400,Arabic,Azilal Demnate,Morocco,smtwtfs,,SNRT,400,,,Aoki,
209000,AM,Mongolian R.1,2200,1500,Mongolian,Choibalsan,Mongolia,smtwtfs,,MNR,75,ND,,Aoki,
216000,AM,R.Monte Carlo,330,2305,French,Roumoules,Monaco,smtwtfs,,RMC,900,,,Aoki,
225000,AM,Polskie Radio 1,1000,959,Polish,Solec Kujawski,Poland,smtwtfs,,POR,1000,ND,,Aoki,
225000,AM,Vatican Radio,1740,1755,Polish,Sokec Kujawski,Poland,smtwtfs,Eu ,/POL-sk,,,Vatican,EiBi,
225000,AM,Polskie Radio 1,1755,1740,Polish,Sokec Kujawski,Poland,smtwtfs,Eu ,sk,,,Poland,EiBi,
227000,AM,Mongolian R.1,2200,1500,Mongolian,Altay,Mongolia,smtwtfs,,MNR,75,ND,,Aoki,
234000,AM,R.Luxembourg,0,2400,French,Beidweiler,Luxembourg,smtwtfs,,RTL,1500,227,,Aoki,
243000,AM,Danmarks Radio,445,505,Danish,,Denmark,smtwtfs,NEu,,,,Denmark,EiBi,
243000,AM,DR P5,445,507,Danish wx/nx,Kalundborg,Denmark,smtwtfs,,DR b15,50,ND,,Aoki,
243000,AM,DR P5,530,537,Danish wx/nx,Kalundborg,Denmark,smtwtfs,,DR,50,ND,,Aoki,
243000,AM,DR P5,600,607,Danish wx/nx,Kalundborg,Denmark,smtwtfs,,DR,50,ND,,Aoki,
243000,AM,DR P5,630,637,Danish wx/nx,Kalundborg,Denmark,smtwtfs,,DR,50,ND,,Aoki,
243000,AM,Danmarks Radio,700,805,Danish,,Denmark,smtwtfs,NEu,,,,Denmark,EiBi,
243000,AM,DR P5,700,807,Danish wx/nx,Kalundborg,Denmark,smtwtfs,,DR,50,ND,,Aoki,
243000,AM,Danmarks Radio,1045,1115,Danish,,Denmark,smtwtfs,NEu,,,,Denmark,EiBi,
243000,AM,DR P5,1045,1135,Danish wx/nx,Kalundborg,Denmark,smtwtfs,,DR,50,ND,,Aoki,
243000,AM,DR P5,1645,1716,Danish wx/nx,Kalundborg,Denmark,smtwtfs,,DR,50,ND,,Aoki,
252000,AM,RTE Radio 1,0,2400,English,Clarktown,Ireland,smtwtfs,,RTE,300,,,Aoki,
270000,AM,Cesky rozhlas 1,400,2300,Czech,Topolna,Czech Rep.,smtwtfs,,CRO,650,ND,,Aoki,
279000,AM,Belaruskaye Radio 1,0,2400,Belarusian,Sasnovy,Belarus,smtwtfs,,BR 1,500,,,Aoki,
279000,AM,Belaruskoye R. 1,0,2400,Belarusian,Minsk-Sasnovy,Belarus,smtwtfs,EEu,,,,Belarus,EiBi,
531000,AM,NHK 1 Imari,0,2400,Japanese,Saga-Imari,Japan,smtwtfs,,,0.1,,,Aoki,
531000,AM,NHK 1 Morioka,0,2400,Japanese,Iwate-Morioka,Japan,smtwtfs,,JOQG,10,,,Aoki,
531000,AM,NHK 1 Nago,0,2400,Japanese,Okinawa-Nago,Japan,smtwtfs,,,1,,,Aoki,
540000,AM,MR1-Kossuth Radio,0,2400,Hungarian,Solt,Hungary,smtwtfs,,,2000,ND,,Aoki,
540000,AM,NHK 1 Ishigaku,0,2400,Japanese,Okinawa-Ishigaki,Japan,smtwtfs,,,1,,,Aoki,
540000,AM,NHK 1 Kitakyushu,0,2400,Japanese,Fukuoka-Kitakyushu,Japan,smtwtfs,,JOSK,1,,,Aoki,
540000,AM,NHK 1 Matsumoto,0,2400,Japanese,Matsumoto,Japan,smtwtfs,,,1,,,Aoki,
540000,AM,NHK 1 Miyazaki,0,2400,Japanese,Miyazaki,Japan,smtwtfs,,JOMG,5,,,Aoki,
540000,AM,NHK 1 Nanao,0,2400,Japanese,Ishikawa-Nanao,Japan,smtwtfs,,,1,,,Aoki,
540000,AM,NHK 1 Yamagata,0,2400,Japanese,Yamagata,Japan,smtwtfs,,JOJG,5,,,Aoki,
549000,AM,NHK 1 Naha,0,2400,Japanese,Okinawa-Naha,Japan,smtwtfs,,JOAP,10,,,Aoki,
549000,AM,UR 1 Persha Programa,400,2200,Ukrainian, Mykolaiv Luch,Ukraine,smtwtfs,,UR 1,550,,,Aoki,
558000,AM,Radio Kansai (CRK),0,2400,Japanese,Kobe,Japan,smtwtfs,,JOCR,20,,,Aoki,
558000,AM,China Radio Intl,1500,1600,English,,China,smtwtfs,SEA,,,,China,EiBi,
558000,AM,China Radio Intl,1600,1700,English,,China,smtwtfs,SEA,,,,China,EiBi,
558000,AM,China Radio Intl,1700,1800,English,,China,smtwtfs,SEA,,,,China,EiBi,
567000,AM,NHK 1 Sapporo,0,2400,Japanese,Sapporo,Japan,smtwtfs,,JOIK,100,,,Aoki,
567000,AM,Lao National R.,630,700,Hmong,Vientiane,Laos,smtwtfs,SEA,v,,,Laos,EiBi,
567000,AM,Lao National R.,700,730,Khmu,Vientiane,Laos,smtwtfs,SEA,v,,,Laos,EiBi,
567000,AM,Lao National R.,855,1330,Lao,Vientiane,Laos,smtwtfs,SEA,v,,,Laos,EiBi,
567000,AM,Lao National R.,1330,1400,Khmer,Vientiane,Laos,smtwtfs,SEA,v,,,Laos,EiBi,
567000,AM,Lao National R.,1400,1430,Mandarin,Vientiane,Laos,smtwtfs,SEA,v,,,Laos,EiBi,
567000,AM,Lao National R.,1430,1500,English,Vientiane,Laos,smtwtfs,SEA,v,,,Laos,EiBi,
567000,AM,Lao National R.,1500,1530,French,Vientiane,Laos,smtwtfs,SEA,v,,,Laos,EiBi,
567000,AM,Lao National R.,1530,1600,Thai,Vientiane,Laos,smtwtfs,SEA,v,,,Laos,EiBi,
567000,AM,Lao National R.,1600,1630,Vietnamese,Vientiane,Laos,smtwtfs,SEA,v,,,Laos,EiBi,
567000,AM,Lao National R.,1630,1632,Lao,Vientiane,Laos,smtwtfs,SEA,v,,,Laos,EiBi,
567000,AM,Lao National R.,2100,2200,Mandarin,Vientiane,Laos,smtwtfs,SEA,v,,,Laos,EiBi,
567000,AM,Lao National R.,2200,2230,Hmong,Vientiane,Laos,smtwtfs,SEA,v,,,Laos,EiBi,
567000,AM,Lao National R.,2230,2300,Khmu,Vientiane,Laos,smtwtfs,SEA,v,,,Laos,EiBi,
567000,AM,Lao National R.,2300,630,Lao,Vientiane,Laos,smtwtfs,SEA,v,,,Laos,EiBi,
576000,AM,BNR Horizont,0,2400,Bulgarian,Vidin,Bulgaria,smtwtfs,BUL,vi,,,Bulgaria,EiBi,
576000,AM,NHK 1 Hamamatsu,0,2400,Japanese,Hamamatsu,Japan,smtwtfs,,JODG,1,,,Aoki,
576000,AM,NHK 1 Kagoshima,0,2400,Japanese,Kagoshima,Japan,smtwtfs,,JOHG,10,,,Aoki,
576000,AM,NHK 1 Ofunato,0,2400,Japanese,Iwate-Ofunato,Japan,smtwtfs,,,0.5,,,Aoki,
576000,AM,Radio Horizont 1,0,2400,Bulgarian,?,Bulgaria,smtwtfs,,,200,ND,,Aoki,
576000,AM,VOIRI,223,1620,Arabic,Bandar-e Mahshahr,Iran,smtwtfs,ME ,mh,,,Iran,EiBi,
576000,AM,Myanma R.,230,330,Burmese,Yegu (Yangon/Rangoon),Burma,s.....s,SEA,y,,,Burma,EiBi,
576000,AM,Myanma R.,330,700,Burmese,Yegu (Yangon/Rangoon),Burma,smtwtfs,SEA,y,,,Burma,EiBi,
576000,AM,Bulgarian National R.,600,630,Turkish,Salmanovo,Bulgaria,.mtwtf.,BUL,sl,,,Bulgaria,EiBi,
576000,AM,Myanma R.,700,730,English,Yegu (Yangon/Rangoon),Burma,smtwtfs,SEA,y,,,Burma,EiBi,
576000,AM,NHK R. Japan,710,725,English,Yegu (Yangon/Rangoon),Burma,s.....s,SEA,/MYA-y,,,Japan,EiBi,
576000,0,R.Japan,710,725,English,Yangon,Burma,s.....s,SEA,0,0,0,Japan,NHK,
576000,AM,Myanma R.,930,1530,Burmese,Yegu (Yangon/Rangoon),Burma,smtwtfs,SEA,y,,,Burma,EiBi,
576000,AM,R.Myanmar,930,1530,Burmese,Yangon,Burma,smtwtfs,,MRNS //5985,200,,,Aoki,
576000,AM,Bulgarian National R.,1300,1400,Turkish,Salmanovo,Bulgaria,smtwtfs,BUL,sl,,,Bulgaria,EiBi,
576000,AM,NHK R. Japan,1445,1500,Burmese,Yegu (Yangon/Rangoon),Burma,.mtwtf.,SEA,/MYA-y,,,Japan,EiBi,
576000,0,R.Japan,1445,1500,Burmese,Yangon,Burma,.mtw...,SEA,0,0,0,Japan,NHK,
576000,AM,Myanma R.,1530,1630,English,Yegu (Yangon/Rangoon),Burma,smtwtfs,SEA,y,,,Burma,EiBi,
576000,AM,R.Myanmar,1530,1630,English,Yangon,Burma,smtwtfs,,MRNS //5985,200,,,Aoki,
576000,AM,NHK R. Japan,1540,1600,English,Yegu (Yangon/Rangoon),Burma,....tf.,SEA,/MYA-y,,,Japan,EiBi,
576000,0,R.Japan,1540,1600,English,Yangon,Burma,....tf.,SEA,0,0,0,Japan,NHK,
576000,AM,Bulgarian National R.,1830,1930,Turkish,Salmanovo,Bulgaria,smtwtfs,BUL,sl,,,Bulgaria,EiBi,
576000,AM,VOIRI,1930,2030,Assyrian/Syriac,Ahwaz,Iran,smtwtfs,ME ,a,,,Iran,EiBi,
576000,AM,Myanma R.,2300,230,Burmese,Yegu (Yangon/Rangoon),Burma,smtwtfs,SEA,y,,,Burma,EiBi,
585000,AM,NHK 1 Iwakuni,0,2400,Japanese,Iwakuni,Japan,smtwtfs,,,0.3,,,Aoki,
585000,AM,NHK 1 Koza,0,2400,Japanese,Wakayama-Koza,Japan,smtwtfs,,,0.5,,,Aoki,
585000,AM,NHK 1 Kushiro,0,2400,Japanese,Kushiro,Japan,smtwtfs,,JOPG,10,,,Aoki,
