Frequency,M,Station,On,Off,Language,Site,TX_Country,Days,Target,Notes,Pwr,Azi,Org_Country,Source,Date
9955000,AM,R.Prague,400,430,English,"Okeechobee, FL",USA,sm.....,LAm,/USA-o,,,Czech Rep.,EiBi,
9955000,AM,R.Prague,400,430,English,Okeechobee FL,USA,sm.....,,RMI b15,100,160,,Aoki,
9955000,AM,RMI Blues Radio Intl,400,430,English,Okeechobee FL,USA,..t....,,RMI b15,100,160,,Aoki,
9955000,AM,RMI La Rosa de Tokio,400,500,Spanish,Okeechobee FL,USA,...w...,,RMI b15,100,160,,Aoki,
9955000,AM,RMI Viva Miami,415,430,English,Okeechobee FL,USA,.....f.,,RMI b15,100,160,,Aoki,
9955000,AM,AWR,430,500,English,"Okeechobee, FL",USA,..t....,LAm,o,,,USA,EiBi,
9955000,AM,RMI,430,500,English,Okeechobee FL,USA,.m.....,,RMI b15,100,160,,Aoki,
9955000,AM,RMI Hobart Radio Intl,430,500,English,Okeechobee FL,USA,s......,,RMI b15,100,160,,Aoki,
9955000,AM,RMI Sounding the Alarm,430,500,French,Okeechobee FL,USA,.....f.,,EOEU RMI b15,100,160,,Aoki,
9955000,AM,RMI Wave Scan,430,500,English,Okeechobee FL,USA,..t....,,RMI b15,100,160,,Aoki,
9955000,AM,World of Radio,430,500,English,"Okeechobee, FL",USA,.m.....,LAm,o,,,USA,EiBi,
9955000,AM,RMI Viva Miami,445,500,English,Okeechobee FL,USA,....t..,,RMI b15,100,160,,Aoki,
9955000,AM,RMI Coming Home,500,530,English,Okeechobee FL,USA,s......,,RFI RMI b15,100,160,,Aoki,
9955000,AM,RMI Frecuencia al Dia,500,530,Spanish,Okeechobee FL,USA,s......,,RMI b15,100,160,,Aoki,
9955000,AM,RMI Moments in Bible Prophecy,500,515,English,Okeechobee FL,USA,..twtfs,,RMI b15,100,160,,Aoki,
9955000,AM,FG Radio,515,530,English,"Okeechobee, FL",USA,...w.f.,LAm,/USA-o,,,Cyprus,EiBi,
9955000,AM,RMI Famagusta Gazette Radio,515,530,English,Okeechobee FL,USA,...w.f.,,FGR RMI b15,100,160,,Aoki,
9955000,AM,RMI Viva Miami,515,530,Spanish,Okeechobee FL,USA,..t.t.s,,RMI b15,100,160,,Aoki,
9955000,AM,R.Slovakia Int.,530,600,Spanish,"Okeechobee, FL",USA,smtwtfs,LAm,/USA-o,,,Slovakia,EiBi,
9955000,AM,R.Slovakia Intl,530,600,Spanish,Okeechobee FL,USA,smtwtfs,,RMI b15,100,160,,Aoki,
9955000,AM,Overcomer Min.,600,1100,English,"Okeechobee, FL",USA,smtwtfs,LAm,o,,,USA,EiBi,
9955000,AM,RMI Overcomer Min.,600,1100,English,Okeechobee FL,USA,smtwtfs,,RMI TOM b15,100,160,,Aoki,
9955000,AM,KHBN,700,1100,0,Medorn,Palau,smtwtfs,"43,44                         ",,100,345,0,FCC,
9955000,AM,KHBN/T8BZ,700,1100,Mandarin/English,"Medorn, Palau",Palau,smtwtfs,"43,44",,100,345,USA,HFCC,
9955000,AM,R.Prague,1100,1128,Spanish,"Okeechobee, FL",USA,.mtwtf.,LAm,/USA-o,,,Czech Rep.,EiBi,
9955000,AM,R.Prague,1100,1128,Spanish,Okeechobee FL,USA,.mtwt..,,RMI b15,100,160,,Aoki,
9955000,AM,RMI End Times Coming,1100,1130,English,Okeechobee FL,USA,.....f.,,RMI b15,100,160,,Aoki,
9955000,AM,RMI Verdad para el Mundo,1100,1115,Spanish,Okeechobee FL,USA,......s,,RMI b15,100,160,,Aoki,
